aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.36.0-1
adwaita-qt 1.1.1-1
adwaita-qt4 1.1.1-1
alembic 1.7.12-1
alsa-lib 1.2.2-1
alsa-oss 1.1.8-3
alsa-plugins 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
amtk 5.0.2-1
android-sdk 26.1.1-1
android-tools 29.0.6-1
antlr4-runtime 4.8-1
aom 1.0.0.errata1+avif-1
appstream 0.12.10-2
appstream-qt 0.12.10-2
archlinux-appstream-data 20200315-1
archlinux-keyring 20200108-1
archlinux-themes-sddm 2.0-1
archlinux-xdg-menu 0.7.6.3-2
argon2 20190702-2
aria2 1.35.0-1
asciidoc 8.6.10-1
aspell 0.60.8-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.34.1-1
atkmm 2.28.0-1
attica 5.68.0-1
attr 2.4.48-2
audiofile 0.3.6-5
audit 2.8.5-6
augeas 1.12.0-1
autoconf 2.69-7
autoconf-archive 1:2019.01.06-1
autoconf2.13 2.13-5
automake 1.16.1-2
avahi 0.8+15+ge8a3dd0-1
babl 0.1.74-1
baloo 5.68.0-1
baloo-widgets 19.12.3-1
base 2-2
bash 5.0.016-1
bash-completion 2.10-1
bc 1.07.1-3
bind-tools 9.16.1-1
binutils 2.34-2
bison 3.5.3-1
black-hole-solver 1.6.0-1
blas 3.9.0-2
blender 17:2.82.a-1
blosc 1.17.1-1
bluez 5.54-1
bluez-libs 5.54-1
bluez-qt 5.68.0-1
bolt 0.8-3
boost-libs 1.72.0-1
breeze 5.18.3-1
breeze-gtk 5.18.3-1
breeze-icons 5.68.0-1
brightnessctl 0.5.1-1
brltty 6.0-8
brotli 1.0.7-3
btrfs-progs 5.4-1
bubblewrap 0.4.0-1
byzanz 0.3.0.1-4
bzip2 1.0.8-3
c-ares 1.15.0-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.51-1
ca-certificates-utils 20181109-3
cabextract 1.9.1-1
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.201-1
cbindgen 0.13.2-1
cblas 3.9.0-2
cdparanoia 10.2-7
cdrtools 3.02a09-2
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
ceph-libs 14.2.8-1
check 0.14.0-1
chromaprint 1.4.3-2
cifs-utils 6.10-1
clang 9.0.1-1
clazy 1.6-1
clucene 2.3.3.4-10
clutter 1.26.4-1
clutter-gst 3.0.27-2
clutter-gtk 1.8.4-1
cmake 3.17.0-1
cogl 1.22.6-1
colord 1.4.4+9+g1ce26da-1
colord-gtk 0.2.0-1
compiler-rt 9.0.1-1
composer 1.10.1-1
confuse 3.2.2-1
convertlit 1.8-8
coreutils 8.31-3
cpio 2.13-1
cracklib 2.9.7-2
cryptsetup 2.3.1-1
ctags 1:r20200106+ga3c87ab5-1
ctemplate 2.4-1
cups 2.3.1-1
cups-filters 1.27.3-1
cups-pk-helper 0.2.6-3
curl 7.69.1-1
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-1
dconf 0.36.0-1
deepin-qt-dbus-factory 5.0.1-5
deepin-qt5dxcb-plugin 5.0.1-5
deepin-qt5integration 5.0.0-7
desktop-file-utils 0.24-2
devhelp 3.36.1-1
device-mapper 2.02.187-1
dhcpcd 8.1.6-1
dialog 1:1.3_20200228-1
diffutils 3.7-3
discord-canary 0.0.102-1
discount 2.2.6-1
djvulibre 3.5.27-5
dkms 2.8.1-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dos2unix 7.4.1-1
dosfstools 4.1-3
dotnet-host 3.1.3.sdk103.2-1
dotnet-runtime 3.1.3.sdk103.2-1
dotnet-runtime-3.0 3.0.3.sdk103-1
dotnet-sdk 3.1.3.sdk103.2-1
double-conversion 3.1.5-1
dtkcore 1:2.1.1-2
dtkwidget 2.1.1-5
dtkwm 2.0.12-5
e2fsprogs 1.45.6-1
ebook-tools 0.2.2-6
editorconfig-core-c 0.12.3-1
efibootmgr 16-2
efivar 37-3
egl-wayland 1.1.4-2
eglexternalplatform 1.1-1
electron 8.2.0-2
elementary-icon-theme 5.2.0-1
elfutils 0.178-2
embree 3.8.0-1
enchant 2.2.8-1
exiv2 0.27.2-1
exo 0.12.11-1
expac 10-1
expat 2.2.9-3
extra-cmake-modules 5.68.0-1
faac 1.30-2
faad2 2.9.1-2
fakeroot 1.24-2
faudio 20.03-1
feh 3.3-2
ffmpeg 1:4.2.2-4
fftw 3.3.8-2
file 5.38-3
file-roller 3.36.1-1
filesystem 2019.10-2
filezilla 3.46.3-1
findutils 4.7.0-2
flac 1.3.3-1
flex 2.6.4-3
fluidsynth 2.1.1-1
fontconfig 2:2.13.91+24+g75eadca-2
frameworkintegration 5.68.0-1
freecell-solver 5.20.1-1
freeglut 3.2.1-1
freerdp 1:2.0.0_rc4-8
freetype2 2.10.1-2
frei0r-plugins 1.7.0-1
fribidi 1.0.9-1
fuse-common 3.9.1-1
fuse2 2.9.9-3
fuse3 3.9.1-1
garcon 0.6.4-1
gavl 1.4.0-3
gawk 5.0.1-2
gc 8.0.4-3
gcc 9.3.0-1
gcc-libs 9.3.0-1
gconf 3.2.6+11+g07808097-6
gcr 3.36-1
gd 2.3.0-1
gdb 9.1-2
gdb-common 9.1-2
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
gegl 0.4.22-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
gettext 0.20.1-3
ghostscript 9.52-1
giflib 5.2.1-1
gimp 2.10.18-5
git 2.26.0-1
glew 2.1.0-1
glib-networking 2.64.1-1
glib2 2.64.1-1
glib2-docs 2.64.1-1
glibc 2.31-2
glibmm 2.64.2-1
glslang 8.13.3559-1
glu 9.0.1-1
glusterfs 1:7.3-1
gmp 6.2.0-1
gnome-bluetooth 3.34.1-1
gnome-calculator 3.36.0-1
gnome-color-manager 3.35.90+1+g98904208-1
gnome-common 3.18.0-3
gnome-desktop 1:3.36.0-1
gnome-icon-theme 3.12.0-5
gnome-icon-theme-symbolic 3.12.0-5
gnome-keyring 1:3.36.0-1
gnome-online-accounts 3.36.0-1
gnome-settings-daemon 3.36.0-1
gnome-themes-extra 3.28-1
gnome-video-effects 0.5.0+4+g9554041-1
gnu-netcat 0.7.1-7
gnugo 3.8-6
gnupg 2.2.20-1
gnutls 3.6.12-1
go 2:1.14.1-1
gobject-introspection 1.64.0-1
gobject-introspection-runtime 1.64.0-1
gperf 3.1-2
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
granite 5.3.0-1
graphene 1.10.0-1
graphite 1:1.3.13-2
graphviz 2.42.3-3
grep 3.4-1
grilo 0.3.12-1
groff 1.22.4-3
gsettings-desktop-schemas 3.36.0-1
gsettings-qt 0.1.20170110-2
gsfonts 20180524-2
gsl 2.6-1
gsm 1.0.18-1
gsound 1.0.2-4
gssdp 1.2.2-1
gst-plugins-bad 1.16.2-5
gst-plugins-bad-libs 1.16.2-5
gst-plugins-base 1.16.2-1
gst-plugins-base-libs 1.16.2-1
gst-plugins-good 1.16.2-3
gstreamer 1.16.2-1
gstreamer-vaapi 1.16.2-1
gstreamer0.10 0.10.36-17
gtk-doc 1.32+37+gefc3644-1
gtk-engine-murrine 0.98.2-3
gtk-sharp-2 2.12.45-2
gtk-theme-elementary 5.4.1-1
gtk-update-icon-cache 1:3.24.16-1
gtk-vnc 1.0.0-1
gtk2 2.24.32-2
gtk3 1:3.24.16-1
gtkd 3.9.0-6
gtkmm 1:2.24.5-3
gtkmm3 3.24.2-1
gtksourceview4 4.6.0-1
gtkspell 2.0.16-7
gtkspell3 3.0.10-2
gts 0.7.6.121130-1
guile 2.2.6-1
guile2.0 2.0.14-3
gupnp 1.2.2-1
gupnp-igd 0.2.5+3+gedd78a6-2
gvfs 1.44.1-1
gzip 1.10-3
harfbuzz 2.6.4-2
harfbuzz-icu 2.6.4-2
hdf5 1.10.5-1
hicolor-icon-theme 0.17-1
hspell 1.4-2
http-parser 2.9.3-1
hunspell 1.7.0-2
hwids 20200306-1
hwloc 2.1.0-2
hyphen 2.8.8-2
iana-etc 20200311-1
icoutils 0.32.3-2
icu 65.1-3
id3lib 3.8.3-17
ijs 0.35-2
imagemagick 7.0.10.3-1
imake 1.0.8-1
imlib2 1.6.1-1
inetutils 1.9.4-8
inkscape 0.92.4-14
intel-gmmlib 19.4.1-1
intel-media-driver 19.4.0.r-1
intel-media-sdk 19.4.0-4
intel-tbb 2020.1-1
intltool 0.51.0-4
iproute2 5.5.0-1
iptables 1:1.8.4-1
iputils 20190709-2
ipython 7.13.0-1
iso-codes 4.4-1
itstool 1:2.0.6-1
jack 0.125.0-8
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-2
java-runtime-common 3-2
jbig2dec 0.18-1
jdk-openjdk 13.0.2.u8-1
jemalloc 1:5.2.1-1
jq 1.6-2
jre-openjdk 13.0.2.u8-1
jre-openjdk-headless 13.0.2.u8-1
js60 60.9.0-2
json-c 0.13.1-3
json-glib 1.4.4-1
jsoncpp 1.9.1-1
jsonrpc-glib 3.34.0-1
kaccounts-integration 19.12.3-1
kactivities 5.68.0-1
kactivities-stats 5.68.0-1
karchive 5.68.0-1
kauth 5.68.0-1
kbd 2.2.0-5
kbookmarks 5.68.0-1
kcmutils 5.68.0-1
kcodecs 5.68.0-1
kcompletion 5.68.0-1
kconfig 5.68.0-1
kconfigwidgets 5.68.0-1
kcoreaddons 5.68.0-1
kcrash 5.68.0-1
kdbusaddons 5.68.0-1
kdeclarative 5.68.0-1
kdecoration 5.18.3-1
kded 5.68.0-1
kdelibs4support 5.68.0-1
kdesignerplugin 5.68.0-1
kdesu 5.68.0-1
kdnssd 5.68.0-1
kdoctools 5.68.0-1
kemoticons 5.68.0-1
keyutils 1.6.1-3
kfilemetadata 5.68.0-1
kglobalaccel 5.68.0-1
kguiaddons 5.68.0-1
kholidays 1:5.68.0-1
ki18n 5.68.0-1
kiconthemes 5.68.0-1
kidletime 5.68.0-1
kinit 5.68.0-1
kio 5.68.0-1
kio-extras 19.12.3-1
kirigami2 5.68.0-2
kitemmodels 5.68.0-1
kitemviews 5.68.0-1
kjobwidgets 5.68.0-1
kjs 5.68.0-1
kjsembed 5.68.0-1
kmod 27-1
knewstuff 5.68.0-1
knotifications 5.68.0-1
knotifyconfig 5.68.0-1
kpackage 5.68.0-1
kparts 5.68.0-1
kpeople 5.68.0-1
